Date,nifty_into,nifty_inth,nifty_intl,nifty_intc,nifty_vol,nifty_ImpulseMACD,nifty_ImpulseHisto,nifty_ImpulseMACDCDSignal,nifty_STX,nifty_psi,nifty_TSI,nifty_TSIs,nifty_velocity,nifty_smooth_velocity,usdinr_into,usdinr_inth,usdinr_intl,usdinr_intc,usdinr_vol,usdinr_ImpulseMACD,usdinr_ImpulseHisto,usdinr_ImpulseMACDCDSignal,usdinr_STX,usdinr_psi,usdinr_TSI,usdinr_TSIs,usdinr_velocity,usdinr_smooth_velocity
2014-01-10,6220.85009765625,6239.10009765625,6139.60009765625,6171.4501953125,713800,0.0,0.0,0.0,0,21.811743187362637,12.351769161993026,7.780688420041015,-7.7052562529430215,15.667143792114228,62.310001373291016,62.45000076293945,61.150001525878906,61.439998626708984,0,0.0,0.0,0.0,0,100.0,8.41412772352955,16.153966542024577,-0.13585115433903697,-0.040589219996844866
2014-01-17,6189.5498046875,6346.5,6189.5498046875,6261.64990234375,712200,0.0,0.0,0.0,0,25.707128829027866,12.675099328335005,8.479889978368728,15.51752333679388,15.637219701050158,61.470001220703125,61.70500183105469,61.13999938964844,61.54999923706055,0,0.0,0.0,0.0,0,100.0,7.315613793024151,14.891344720738802,-0.06847507780830688,-0.04616639155913727
2014-01-24,6261.75,6355.60009765625,6243.35009765625,6266.75,681700,0.0,0.0,0.0,0,31.711569450434965,12.985509276417625,9.12354987809,11.493728433625375,14.808521447565202,61.540000915527344,63.34000015258789,61.349998474121094,62.72999954223633,0,0.0,0.0,0.0,0,100.0,8.024299542983124,13.910338266773705,0.21423431625394643,0.005913750003479471
2014-01-31,6186.2998046875,6188.5498046875,6027.25,6089.5,876000,0.0,0.0,0.0,0,39.96573881488831,11.142968596582575,9.412038266446082,-32.24548229828905,5.397720698394353,63.380001068115234,63.380001068115234,62.06999969482422,62.5,0,0.0,0.0,0.0,0,100.0,8.228745695484767,13.098682185161,0.08323579283598259,0.021378158569980096
2014-02-07,6058.7998046875,6079.9501953125,5933.2998046875,6063.2001953125,852200,0.0,0.0,0.0,0,50.677559525699316,9.338814131017534,9.401577675670575,-27.552601911105853,-1.1923438235056885,62.869998931884766,62.869998931884766,61.790000915527344,62.09000015258789,0,0.0,0.0,0.0,0,100.0,7.726446429600122,12.331219934366588,-0.032115579075238106,0.010679411040936455
2014-02-14,6072.7998046875,6106.60009765625,5984.60009765625,6048.35009765625,716000,0.0,0.0,0.0,0,64.14406396758342,7.680768279967769,9.155747761998745,-23.4543785069446,-5.644750760193471,62.310001373291016,62.45000076293945,61.650001525878906,61.83000183105469,0,0.0,0.0,0.0,0,100.0,6.883492091658866,11.552973099694057,-0.07523711181633244,-0.006503893530517325
2014-02-21,6071.2998046875,6160.35009765625,6066.7998046875,6155.4501953125,466500,0.0,0.0,0.0,0,80.78702948901152,7.409084469767813,8.906224434537183,6.3868216386090975,-3.2384362804329574,61.790000915527344,62.439998626708984,61.790000915527344,62.0099983215332,0,0.0,0.0,0.0,0,100.0,6.450270718092333,10.824015616608097,-0.0036564449800999725,-0.005934403820433855
2014-02-28,6140.9501953125,6282.7001953125,6130.7998046875,6276.9501953125,653500,0.0,0.0,0.0,0,93.32210029447418,8.444767506651674,8.840302016267824,29.794905578923956,3.368232091438425,62.06800079345703,62.209999084472656,61.630001068115234,61.81999969482422,0,0.0,0.0,0.0,0,100.0,5.760984285692984,10.100725426477366,-0.046367814463246455,-0.014021085948996377
2014-03-07,6264.35009765625,6537.7998046875,6212.25,6526.64990234375,937300,0.0,0.0,0.0,0,80.09476942698593,11.800687681369805,9.263214254139536,77.02126234409732,18.098838141970205,62.16999816894531,62.16999816894531,60.77000045776367,61.22999954223633,0,0.0,0.0,0.0,0,100.0,4.1496168762397065,9.2505670621577,-0.16853076292922062,-0.044923021345041225
2014-03-14,6491.7001953125,6562.85009765625,6432.7001953125,6504.2001953125,1001300,0.0,0.0,0.0,0,72.3001047301569,14.16200386821941,9.963041341865232,49.212461900330716,24.32156289364231,60.810001373291016,61.58000183105469,60.529998779296875,60.97999954223633,0,0.0,0.0,0.0,0,100.0,2.36389610389034,8.266756925262362,-0.1752134327535906,-0.0709811036267511
