Country,Year,Quarter,Month,WeekCode,Week,I7498_6,I7498_7,I7498_8,I7498_9,I7498_10,I7498_11,I7498_12,I7498_13,I7498_14,I7498_15,I7498_16,I7498_17
India,"Calendar Year (Jan - Dec), 2001","October - December, 2001","December, 2001",200151.0,"Week 51, 2001",241420.0,2470.0,67612.0,311502.0,146861.0,,23185.0,12581.0,10604.0,229647.0,5993.0,94184.0
India,"Calendar Year (Jan - Dec), 2001","October - December, 2001","December, 2001",200152.0,"Week 52, 2001",239470.0,2519.0,72521.0,314510.0,147984.0,,25121.0,14292.0,10829.0,232111.0,6077.0,96783.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","January, 2002",200201.0,"Week 01, 2002",241182.0,2609.0,64947.0,308738.0,149004.0,,19977.0,11046.0,8931.0,233211.0,6077.0,99531.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","January, 2002",200202.0,"Week 02, 2002",243561.0,2424.0,65027.0,311012.0,151758.0,,16665.0,9056.0,7609.0,236751.0,6077.0,100239.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","January, 2002",200203.0,"Week 03, 2002",243595.0,2384.0,67047.0,313026.0,148559.0,,20175.0,11190.0,8985.0,237634.0,6077.0,99419.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","January, 2002",200204.0,"Week 04, 2002",241564.0,2298.0,73556.0,317418.0,152460.0,,19131.0,11247.0,7884.0,238092.0,6155.0,98420.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","February, 2002",200205.0,"Week 05, 2002",241017.0,2640.0,68254.0,311911.0,146543.0,,18037.0,10128.0,7909.0,240510.0,6155.0,99334.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","February, 2002",200206.0,"Week 06, 2002",246327.0,2216.0,75639.0,324182.0,155765.0,,21381.0,13184.0,8197.0,242142.0,6155.0,101261.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","February, 2002",200207.0,"Week 07, 2002",247949.0,2316.0,65541.0,315806.0,146293.0,,20901.0,12171.0,8730.0,244458.0,6155.0,102001.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","February, 2002",200208.0,"Week 08, 2002",247583.0,2322.0,70345.0,320250.0,151350.0,,19611.0,11775.0,7836.0,245612.0,6238.0,102561.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","March, 2002",200209.0,"Week 09, 2002",247209.0,2507.0,73643.0,323359.0,150596.0,,21838.0,11983.0,9855.0,247330.0,6238.0,102643.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","March, 2002",200210.0,"Week 10, 2002",251853.0,2199.0,68446.0,322498.0,152148.0,,16965.0,10045.0,6920.0,250706.0,6238.0,103559.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","March, 2002",200211.0,"Week 11, 2002",252836.0,2492.0,74591.0,329919.0,152179.0,,21562.0,12723.0,8839.0,254176.0,6238.0,104236.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","March, 2002",200212.0,"Week 12, 2002",251605.0,2704.0,67791.0,322100.0,141768.0,,17869.0,10904.0,6965.0,259973.0,6366.0,103876.0
India,"Calendar Year (Jan - Dec), 2002","January - March, 2002","March, 2002",200213.0,"Week 13, 2002",251246.5,3033.0,81525.5,335703.8597,147175.0,,19528.0,11168.0,8360.0,264208.0,6366.0,103821.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","April, 2002",200214.0,"Week 14, 2002",254992.0,2645.0,64940.0,322577.0,144036.0,,10973.0,7776.0,3197.0,266420.0,6366.0,105219.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","April, 2002",200215.0,"Week 15, 2002",260052.0,2344.0,70850.0,333246.0,153725.0,,12356.0,8857.0,3499.0,267992.0,6366.0,107194.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","April, 2002",200216.0,"Week 16, 2002",260992.0,2360.0,80657.0,344009.0,160102.0,,16754.0,11292.0,5462.0,269146.0,6383.0,108376.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","April, 2002",200217.0,"Week 17, 2002",260781.0,2525.0,73542.0,336848.0,155562.0,,14157.0,9734.0,4423.0,270858.0,6383.0,110113.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","May, 2002",200218.0,"Week 18, 2002",264456.0,2212.0,79054.0,345722.0,161069.0,,17757.0,11825.0,5932.0,272347.0,6383.0,111835.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","May, 2002",200219.0,"Week 19, 2002",269553.0,2373.0,73664.0,345590.0,163054.0,,14760.0,10215.0,4545.0,272799.0,6383.0,111407.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","May, 2002",200220.0,"Week 20, 2002",270333.0,2316.0,77375.0,350024.0,169065.0,,14652.0,9696.0,4956.0,272290.0,6383.0,112366.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","May, 2002",200221.0,"Week 21, 2002",269058.0,2249.0,79532.0,350840.0,169699.0,,13658.0,9621.0,4037.0,273476.0,6383.0,112377.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","May, 2002",200222.0,"Week 22, 2002",267324.0,2272.0,69023.0,338618.0,159701.0,,10512.0,7418.0,3094.0,275234.0,6459.0,113288.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","June, 2002",200223.0,"Week 23, 2002",271722.0,2077.0,68604.0,342403.0,164653.0,,9737.0,6744.0,2993.0,276026.0,6459.0,114473.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","June, 2002",200224.0,"Week 24, 2002",271376.0,2371.0,71321.0,345068.0,166991.0,,9801.0,6821.0,2980.0,277079.0,6459.0,115263.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","June, 2002",200225.0,"Week 25, 2002",268480.0,3883.0,69538.0,341901.0,163492.0,,9725.0,6804.0,2921.0,279143.0,6459.0,116919.0
India,"Calendar Year (Jan - Dec), 2002","April - June, 2002","June, 2002",200226.0,"Week 26, 2002",265607.0,3238.0,60275.0,329120.0,147966.0,,10140.0,7221.0,2919.0,283248.0,6534.0,118768.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","July, 2002",200227.0,"Week 27, 2002",267650.0,3792.0,71830.0,343272.0,164117.0,,9486.0,6552.0,2934.0,283136.0,6534.0,120001.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","July, 2002",200228.0,"Week 28, 2002",267900.0,4017.0,78807.0,350724.0,169412.0,,9660.0,6731.0,2929.0,286681.0,6534.0,121563.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","July, 2002",200229.0,"Week 29, 2002",264721.0,3617.0,64462.0,332800.0,148552.0,,9598.0,6672.0,2926.0,290495.0,6534.0,122379.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","July, 2002",200230.0,"Week 30, 2002",260990.0,3778.0,76947.0,341714.0,155332.0,,9675.0,6750.0,2925.0,291371.0,6666.0,121329.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","August, 2002",200231.0,"Week 31, 2002",260087.0,3629.0,68198.0,331913.0,144182.0,,8723.0,5807.0,2916.0,292554.0,6666.0,120211.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","August, 2002",200232.0,"Week 32, 2002",262988.0,3551.0,75325.0,341863.0,154137.0,,8662.0,5724.0,2938.0,292093.0,6666.0,119693.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","August, 2002",200233.0,"Week 33, 2002",262810.0,3515.0,70090.0,336415.0,136984.0,,8802.0,5882.0,2920.0,294555.0,6666.0,110592.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","August, 2002",200234.0,"Week 34, 2002",260622.0,3571.0,72258.0,336451.0,134207.0,,8658.0,5732.0,2926.0,296132.0,6728.0,109274.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","August, 2002",200235.0,"Week 35, 2002",257898.0,3500.0,62474.0,323872.0,119616.0,,9171.0,6241.0,2930.0,298402.0,6728.0,110046.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","September, 2002",200236.0,"Week 36, 2002",261136.0,3509.0,81730.0,346375.0,140632.0,,9408.0,6482.0,2926.0,301133.0,6728.0,111527.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","September, 2002",200237.0,"Week 37, 2002",262192.0,3526.0,68346.0,334064.0,127529.0,,9472.0,6413.0,3059.0,300446.0,6728.0,110111.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","September, 2002",200238.0,"Week 38, 2002",259706.0,3479.0,72726.0,335911.0,128187.0,,9357.0,6430.0,2927.0,302867.0,6790.0,111289.0
India,"Calendar Year (Jan - Dec), 2002","July - September, 2002","September, 2002",200239.0,"Week 39, 2002",256885.0,3314.0,78072.0,338272.0,129580.0,,9731.0,6747.0,2984.0,303419.0,6790.0,111249.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","October, 2002",200240.0,"Week 40, 2002",259132.0,3913.0,71515.0,334560.0,124113.0,,9320.0,6348.0,2972.0,305860.0,6790.0,111524.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","October, 2002",200241.0,"Week 41, 2002",264918.0,3284.0,69902.0,338104.0,124869.0,,9717.0,6762.0,2955.0,308931.0,6790.0,112203.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","October, 2002",200242.0,"Week 42, 2002",265903.0,3262.0,66637.0,335802.0,120553.0,,9804.0,6698.0,3106.0,310029.0,6851.0,111435.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","October, 2002",200243.0,"Week 43, 2002",263661.0,3309.0,72192.0,339162.0,125351.0,,9552.0,6641.0,2911.0,309754.0,6851.0,112347.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","November, 2002",200244.0,"Week 44, 2002",266399.0,3189.0,86679.0,356267.0,142511.0,,9462.0,6520.0,2942.0,312335.0,6661.0,114702.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","November, 2002",200245.0,"Week 45, 2002",275815.0,3024.0,65778.0,344618.0,128410.0,,9334.0,6391.0,2943.0,315551.0,6851.0,115529.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","November, 2002",200246.0,"Week 46, 2002",273914.0,3602.0,73033.0,350550.0,130939.0,,9431.0,6467.0,2964.0,318416.0,6851.0,115087.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","November, 2002",200247.0,"Week 47, 2002",270898.0,3285.0,69087.0,343271.0,121565.0,,8960.0,5991.0,2969.0,320971.0,6851.0,115075.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","November, 2002",200248.0,"Week 48, 2002",267986.0,2932.0,71688.0,342605.0,118134.0,,9302.0,6198.0,3104.0,323042.0,6907.0,114779.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","December, 2002",200249.0,"Week 49, 2002",272372.0,2782.0,67597.0,342752.0,117950.0,111794.0,9125.0,6118.0,3007.0,326991.0,6907.0,118221.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","December, 2002",200250.0,"Week 50, 2002",274103.0,2945.0,72193.0,349241.0,123022.0,116319.0,9030.0,6070.0,2960.0,329697.0,6907.0,119416.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","December, 2002",200251.0,"Week 51, 2002",271987.0,2657.0,70682.0,345326.0,114792.0,106941.0,9123.0,6008.0,3115.0,334008.0,6907.0,119504.0
India,"Calendar Year (Jan - Dec), 2002","October - December, 2002","December, 2002",200252.0,"Week 52, 2002",270912.0,2618.0,70298.0,343828.0,110760.0,105402.0,9364.0,6401.0,2963.0,337633.0,6947.0,120876.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","January, 2003",200301.0,"Week 01, 2003",271778.0,3128.0,68170.0,343076.0,109876.0,103357.0,9503.0,6523.0,2980.0,339703.0,6947.0,122952.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","January, 2003",200302.0,"Week 02, 2003",275090.0,2736.0,76630.0,354456.0,120210.0,113070.0,10186.0,7184.0,3002.0,342156.0,6947.0,125044.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","January, 2003",200303.0,"Week 03, 2003",276086.0,2695.0,68139.0,346919.0,108054.0,101410.0,10746.0,7054.0,3692.0,347064.0,6947.0,125892.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","January, 2003",200304.0,"Week 04, 2003",274471.0,2671.0,70920.0,348062.0,107823.0,102114.0,9881.0,6956.0,2925.0,350437.0,6993.0,127072.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","January, 2003",200305.0,"Week 05, 2003",273054.0,3130.0,72595.0,348779.0,108321.0,102858.0,9472.0,6532.0,2940.0,351677.0,6993.0,127683.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","February, 2003",200306.0,"Week 06, 2003",279109.0,2917.0,71554.0,353580.0,108508.0,102984.0,8965.0,6059.0,2906.0,356290.0,6993.0,127176.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","February, 2003",200307.0,"Week 07, 2003",281582.0,2776.0,74323.0,358680.0,110539.0,105258.0,8860.0,5941.0,2919.0,360224.0,6993.0,127936.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","February, 2003",200308.0,"Week 08, 2003",280250.0,3247.0,68040.0,351537.0,101608.0,95908.0,9034.0,6118.0,2916.0,359727.0,7036.0,125869.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","February, 2003",200309.0,"Week 09, 2003",278871.0,2667.0,75467.0,357005.0,117402.0,113829.0,11298.0,7319.0,3979.0,347369.0,7036.0,126102.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","March, 2003",200310.0,"Week 10, 2003",283482.0,2487.0,73923.0,359892.0,119749.0,113721.0,10679.0,7456.0,3223.0,351484.0,7036.0,129056.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","March, 2003",200311.0,"Week 11, 2003",285846.0,2707.0,74878.0,363432.0,121240.0,117286.0,9220.0,6287.0,2933.0,352264.0,7036.0,126329.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","March, 2003",200312.0,"Week 12, 2003",285704.0,3310.0,64369.0,353383.0,109456.0,106292.0,9148.0,6176.0,2972.0,352079.0,7071.0,124372.0
India,"Calendar Year (Jan - Dec), 2003","January - March, 2003","March, 2003",200313.0,"Week 13, 2003",283347.0,3595.0,82009.0,368951.0,120386.0,114968.0,12273.0,7471.0,4802.0,355710.0,7071.0,126489.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","April, 2003",200314.0,"Week 14, 2003",284425.0,3825.0,68404.0,356654.0,105976.0,103489.0,9788.0,6777.0,3011.0,355686.0,7071.0,121868.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","April, 2003",200315.0,"Week 15, 2003",291538.0,3149.0,69676.0,364363.0,111202.0,107937.0,9540.0,6537.0,3003.0,359128.0,7071.0,122578.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","April, 2003",200316.0,"Week 16, 2003",294871.0,3071.0,82318.0,380260.0,127259.0,122691.0,9448.0,6447.0,3001.0,360383.0,7107.0,123937.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","April, 2003",200317.0,"Week 17, 2003",293695.0,2703.0,73257.0,369654.0,113913.0,108008.0,9225.0,6277.0,2948.0,364658.0,7107.0,125249.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","May, 2003",200318.0,"Week 18, 2003",295132.0,2957.0,87782.0,385871.0,129458.0,126664.0,9049.0,6055.0,2994.0,367467.0,7107.0,127210.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","May, 2003",200319.0,"Week 19, 2003",303201.0,2497.0,70713.0,376410.0,118084.0,114213.0,8727.0,5731.0,2996.0,370729.0,7107.0,128236.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","May, 2003",200320.0,"Week 20, 2003",304447.0,2674.0,79201.0,386322.0,126876.0,126170.0,8514.0,5591.0,2923.0,373493.0,7107.0,129668.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","May, 2003",200321.0,"Week 21, 2003",303414.0,2482.0,71524.0,377420.0,112568.0,108577.0,8861.0,5823.0,3038.0,379468.0,7107.0,130584.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","May, 2003",200322.0,"Week 22, 2003",301064.0,2455.0,85918.0,389437.0,123545.0,119764.0,8172.0,5164.0,3008.0,382579.0,7141.0,132001.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","June, 2003",200323.0,"Week 23, 2003",305091.0,2415.0,71108.0,378615.0,111851.0,109970.0,8505.0,5503.0,3002.0,382447.0,7141.0,131328.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","June, 2003",200324.0,"Week 24, 2003",305652.0,2721.0,78011.0,386385.0,119304.0,116856.0,8597.0,5570.0,3027.0,384928.0,7141.0,133584.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","June, 2003",200325.0,"Week 25, 2003",303713.0,3955.0,71073.0,378741.0,109971.0,107799.0,8479.0,5494.0,2985.0,382344.0,7141.0,129195.0
India,"Calendar Year (Jan - Dec), 2003","April - June, 2003","June, 2003",200326.0,"Week 26, 2003",300355.0,3308.0,81740.0,385403.0,116229.0,113419.0,8644.0,5669.0,2975.0,380954.0,7155.0,127578.0
India,"Calendar Year (Jan - Dec), 2003","July - September, 2003","July, 2003",200327.0,"Week 27, 2003",302307.0,3688.0,67528.0,373524.0,102035.0,99183.0,7727.0,4841.0,2886.0,383517.0,7155.0,126912.0
