Country,Year,Month,D6725_4,I6725_5,I6725_6,I6725_7,I6725_8,I6725_9,I6725_10,I6725_11,I6725_12,I6725_13,I6725_14,I6725_15,I6725_16,I6725_17,I6725_18,I6725_19,I6725_20,I6725_21
India,"Financial Year (Apr - Mar), 1999","September, 1999", 10-Sep-1999,374746.0,20946.0,353800.0,53558.0,6248.0,2455.0,,,44811.0,24957.0,19854.0,407939.0,,,,581.0,44.0
India,"Financial Year (Apr - Mar), 1999","September, 1999", 24-Sep-1999,378394.0,20532.0,357862.0,53391.0,5997.0,2517.0,,,44833.0,25113.0,19720.0,411797.0,,,,544.0,44.0
India,"Financial Year (Apr - Mar), 1999","October, 1999", 22-Oct-1999,391636.0,21404.0,370232.0,55603.0,6461.0,2598.0,,,46500.0,26220.0,20281.0,426379.0,,,,544.0,44.0
India,"Financial Year (Apr - Mar), 1999","October, 1999", 8-Oct-1999,388075.0,21252.0,366823.0,54429.0,6160.0,2489.0,,,45736.0,25844.0,19892.0,421796.0,,,,544.0,44.0
India,"Financial Year (Apr - Mar), 1999","November, 1999", 19-Nov-1999,394048.0,23409.0,370639.0,55449.0,5582.0,2721.0,,,47098.0,26795.0,20303.0,426632.0,,,,544.0,49.0
India,"Financial Year (Apr - Mar), 1999","November, 1999", 5-Nov-1999,393987.0,23179.0,370808.0,55156.0,5747.0,2752.0,,,46607.0,26303.0,20305.0,426508.0,,,,544.0,49.0
India,"Financial Year (Apr - Mar), 1999","December, 1999", 17-Dec-1999,400060.0,24428.0,375632.0,56966.0,5574.0,2731.0,,,48611.0,27646.0,20965.0,433260.0,,,,662.0,49.0
India,"Financial Year (Apr - Mar), 1999","December, 1999", 3-Dec-1999,396204.0,24023.0,372180.0,55897.0,5001.0,2692.0,,,48155.0,27278.0,20877.0,400691.0,,,,473.0,49.0
India,"Financial Year (Apr - Mar), 1999","December, 1999", 31-Dec-1999,410464.0,25598.0,384865.0,57574.0,5782.0,2703.0,,,49041.0,27870.0,21170.0,442902.0,,,,463.0,49.0
India,"Financial Year (Apr - Mar), 1999","January, 2000", 14-Jan-2000,414733.0,25507.0,389226.0,58060.0,6015.0,2781.0,,,49215.0,28015.0,21200.0,447749.0,,,,463.0,49.0
India,"Financial Year (Apr - Mar), 1999","January, 2000", 28-Jan-2000,414553.0,26056.0,388497.0,58447.0,5977.0,2795.0,,,49626.0,28319.0,21307.0,447703.0,,,,758.0,49.0
India,"Financial Year (Apr - Mar), 1999","February, 2000", 11-Feb-2000,418103.0,25961.0,392142.0,59145.0,6159.0,2787.0,,,50149.0,28872.0,21277.0,452044.0,,,,758.0,49.0
India,"Financial Year (Apr - Mar), 1999","February, 2000", 25-Feb-2000,423937.0,25927.0,398010.0,60365.0,6408.0,2788.0,,,51121.0,29281.0,21839.0,458960.0,,,,585.0,49.0
India,"Financial Year (Apr - Mar), 1999","March, 2000", 10-Mar-2000,425392.0,24935.0,400457.0,60701.0,6131.0,2770.0,,,51751.0,30019.0,21732.0,461743.0,,,,585.0,49.0
India,"Financial Year (Apr - Mar), 1999","March, 2000", 24-Mar-2000,434182.0,8875.0,56469.0,61095.0,1137.0,485.0,,,11071.0,6294.0,4778.0,470320.0,,,,735.0,-44.0
India,"Financial Year (Apr - Mar), 2000","May, 2000", 19-May-2000,443035.0,30293.0,412742.0,62874.0,5455.0,2975.0,,,54424.0,32584.0,21840.0,475616.0,,,,,20.0
India,"Financial Year (Apr - Mar), 2000","May, 2000", 5-May-2000,445238.0,29057.0,416181.0,62943.0,5063.0,2969.0,,,54891.0,32487.0,22404.0,479124.0,,,,,20.0
India,"Financial Year (Apr - Mar), 2000","June, 2000", 16-Jun-2000,446912.0,32081.0,414830.0,64446.0,6755.0,2891.0,,,54785.0,32502.0,22284.0,479621.0,,,,345.0,15.0
India,"Financial Year (Apr - Mar), 2000","June, 2000", 2-Jun-2000,444203.0,31636.0,412567.0,63679.0,6177.0,2837.0,,,54650.0,32616.0,22035.0,476591.0,,,,345.0,15.0
India,"Financial Year (Apr - Mar), 2000","June, 2000", 30-Jun-2000,455261.0,33182.0,422079.0,64441.0,6591.0,2965.0,,,54870.0,32732.0,22138.0,486865.0,,,,345.0,15.0
India,"Financial Year (Apr - Mar), 2000","July, 2000", 14-Jul-2000,457181.0,32873.0,424308.0,64053.0,6743.0,2928.0,,,54381.0,32426.0,21955.0,488595.0,,,,235.0,
India,"Financial Year (Apr - Mar), 2000","July, 2000", 28-Jul-2000,457503.0,32808.0,424695.0,64809.0,6910.0,2964.0,,,54920.0,32745.0,22175.0,489739.0,,,,235.0,15.0
India,"Financial Year (Apr - Mar), 2000","August, 2000", 11-Aug-2000,457709.0,31698.0,426012.0,64817.0,6453.0,3005.0,,,55344.0,32769.0,22575.0,491172.0,,,,343.0,15.0
India,"Financial Year (Apr - Mar), 2000","August, 2000", 25-Aug-2000,461769.0,32636.0,429134.0,65249.0,5870.0,3002.0,,,56362.0,33094.0,23268.0,494725.0,,,,343.0,15.0
India,"Financial Year (Apr - Mar), 2000","September, 2000", 22-Sep-2000,466826.0,32090.0,434736.0,63228.0,4695.0,2985.0,,,55533.0,32770.0,22763.0,498544.0,,,,580.0,15.0
India,"Financial Year (Apr - Mar), 2000","September, 2000", 8-Sep-2000,462600.0,32450.0,430150.0,64536.0,5349.0,3009.0,,,56163.0,32921.0,23242.0,495029.0,,,,343.0,15.0
India,"Financial Year (Apr - Mar), 2000","October, 2000", 20-Oct-2000,479478.0,33845.0,445633.0,63586.0,4609.0,3020.0,,,55942.0,33023.0,22918.0,509705.0,,,,486.0,15.0
India,"Financial Year (Apr - Mar), 2000","October, 2000", 6-Oct-2000,475456.0,32884.0,442572.0,63398.0,4672.0,2989.0,,,55722.0,32957.0,22765.0,506362.0,,,,392.0,15.0
India,"Financial Year (Apr - Mar), 2000","November, 2000", 17-Nov-2000,480586.0,35434.0,445152.0,65429.0,5067.0,3266.0,,,57081.0,33544.0,23537.0,511150.0,,,,570.0,15.0
India,"Financial Year (Apr - Mar), 2000","November, 2000", 3-Nov-2000,478359.0,35157.0,443202.0,63829.0,4307.0,3047.0,,,56460.0,33293.0,23167.0,507517.0,,,,486.0,15.0
India,"Financial Year (Apr - Mar), 2000","December, 2000", 1-Dec-2000,480748.0,36917.0,443831.0,65515.0,5409.0,3230.0,,,56861.0,33567.0,23294.0,509916.0,,,,570.0,15.0
India,"Financial Year (Apr - Mar), 2000","December, 2000", 15-Dec-2000,485006.0,36946.0,448059.0,67204.0,6272.0,3171.0,,,57745.0,34513.0,23232.0,515834.0,,,,570.0,16.0
India,"Financial Year (Apr - Mar), 2000","December, 2000", 29-Dec-2000,495247.0,37450.0,457797.0,67214.0,6274.0,3156.0,,,57770.0,34515.0,23254.0,526024.0,,,,1013.0,15.0
India,"Financial Year (Apr - Mar), 2000","January, 2001", 12-Jan-2001,497486.0,38417.0,459069.0,69828.0,7193.0,3186.0,,,59433.0,35261.0,24172.0,529910.0,,,,1013.0,15.0
India,"Financial Year (Apr - Mar), 2000","January, 2001", 26-Jan-2001,499586.0,39078.0,460508.0,70874.0,7216.0,3176.0,,,60467.0,36127.0,24340.0,532395.0,,,,1013.0,15.0
India,"Financial Year (Apr - Mar), 2000","February, 2001", 23-Feb-2001,504621.0,39611.0,465009.0,71739.0,7164.0,3174.0,,,61386.0,36473.0,24914.0,537812.0,,,,1063.0,15.0
India,"Financial Year (Apr - Mar), 2000","February, 2001", 9-Feb-2001,501110.0,39594.0,461516.0,71767.0,7296.0,3196.0,,,61260.0,36509.0,24751.0,534296.0,,,,1013.0,15.0
India,"Financial Year (Apr - Mar), 2000","March, 2001", 23-Mar-2001,509082.0,39991.0,469091.0,75108.0,7407.0,3150.0,,,64536.0,37738.0,26798.0,544867.0,,,,668.0,15.0
India,"Financial Year (Apr - Mar), 2000","March, 2001", 9-Mar-2001,504945.0,39928.0,465017.0,72578.0,7113.0,3187.0,,,62263.0,36817.0,25446.0,538658.0,,,,1063.0,15.0
India,"Financial Year (Apr - Mar), 2001","April, 2001", 20-Apr-2001,519273.0,36107.0,483165.0,75637.0,6638.0,3145.0,,,65838.0,38801.0,27037.0,558802.0,,,,,15.0
India,"Financial Year (Apr - Mar), 2001","May, 2001", 18-May-2001,520329.0,46436.0,473892.0,75615.0,6590.0,3148.0,,,65862.0,38617.0,27245.0,549508.0,,,,,15.0
India,"Financial Year (Apr - Mar), 2001","May, 2001", 4-May-2001,517560.0,43097.0,474463.0,75323.0,6459.0,3117.0,,,65732.0,38645.0,27087.0,549786.0,,,,,15.0
India,"Financial Year (Apr - Mar), 2001","June, 2001", 1-Jun-2001,515693.0,48731.0,466962.0,75390.0,6512.0,3171.0,,,65692.0,38466.0,27227.0,543365.0,,,,1013.0,15.0
India,"Financial Year (Apr - Mar), 2001","June, 2001", 15-Jun-2001,516665.0,48798.0,467867.0,76013.0,6719.0,3162.0,,,66116.0,38643.0,27473.0,544892.0,,,,1013.0,15.0
India,"Financial Year (Apr - Mar), 2001","June, 2001", 29-Jun-2001,518657.0,50340.0,468317.0,76400.0,6734.0,3141.0,,,66511.0,38795.0,27716.0,545730.0,,,,1013.0,15.0
India,"Financial Year (Apr - Mar), 2001","July, 2001", 13-Jul-2001,523047.0,50778.0,472269.0,77149.0,7459.0,3174.0,,,66502.0,39171.0,27330.0,550431.0,,,,1013.0,15.0
India,"Financial Year (Apr - Mar), 2001","July, 2001", 27-Jul-2001,524184.0,51027.0,473157.0,76125.0,6479.0,3178.0,,,66453.0,39135.0,27318.0,549998.0,,,,716.0,15.0
India,"Financial Year (Apr - Mar), 2001","August, 2001", 10-Aug-2001,526703.0,51184.0,475519.0,75188.0,5652.0,3188.0,,,66334.0,39381.0,26952.0,551407.0,,,,700.0,15.0
India,"Financial Year (Apr - Mar), 2001","August, 2001", 24-Aug-2001,527818.0,50637.0,477180.0,75044.0,5689.0,3223.0,,,66116.0,38978.0,27139.0,552924.0,,,,700.0,15.0
