Date,Open,High,Low,Close,Volume
2013-01-01,54.99300003051758,55.33300018310547,54.099998474121094,54.880001068115234,0
2013-01-08,55.15299987792969,55.36800003051758,54.35200119018555,54.86800003051758,0
2013-01-15,54.50299835205078,54.882999420166016,53.63999938964844,53.737998962402344,0
2013-01-22,53.768001556396484,54.042999267578125,53.37799835205078,53.792999267578125,0
2013-01-29,53.85300064086914,53.95000076293945,52.90800094604492,53.16299819946289,0
2013-02-05,53.20000076293945,53.97800064086914,52.882999420166016,53.5880012512207,0
2013-02-12,53.803001403808594,54.41749954223633,53.65299987792969,54.31800079345703,0
2013-02-19,54.143001556396484,54.612998962402344,53.83300018310547,54.27299880981445,0
2013-02-26,53.862998962402344,55.130001068115234,53.60599899291992,54.89799880981445,0
2013-03-05,54.858001708984375,54.92300033569336,54.17499923706055,54.34299850463867,0
2013-03-12,54.41600036621094,54.5099983215332,53.959999084472656,54.02299880981445,0
2013-03-19,54.073001861572266,54.53799819946289,53.89799880981445,54.34299850463867,0
2013-03-26,54.2869987487793,54.4630012512207,54.15299987792969,54.27799987792969,0
2013-04-02,54.29999923706055,54.92300033569336,54.237998962402344,54.803001403808594,0
2013-04-09,54.61000061035156,54.790000915527344,54.25,54.51300048828125,0
2013-04-16,54.542999267578125,54.595001220703125,53.78300094604492,53.93299865722656,0
2013-04-23,54.13800048828125,54.4379997253418,54.04999923706055,54.37300109863281,0
2013-04-30,54.20199966430664,54.25,53.599998474121094,53.779998779296875,0
2013-05-07,54.12699890136719,55.01499938964844,53.95000076293945,54.803001403808594,0
2013-05-14,54.827999114990234,55.132999420166016,54.53799819946289,54.88800048828125,0
2013-05-21,55.099998474121094,55.9900016784668,54.948001861572266,55.8129997253418,0
2013-05-28,55.564998626708984,56.81800079345703,55.564998626708984,56.573001861572266,0
2013-06-04,56.65299987792969,58.150001525878906,56.30799865722656,56.8380012512207,0
2013-06-11,56.74800109863281,58.97800064086914,56.6879997253418,57.49800109863281,0
2013-06-18,58.10300064086914,59.95800018310547,58.00299835205078,59.268001556396484,0
2013-06-25,59.80799865722656,60.74800109863281,58.95899963378906,59.5260009765625,0
2013-07-02,59.37799835205078,61.3849983215332,59.1879997253418,60.222999572753906,0
2013-07-09,60.6879997253418,60.6879997253418,59.38800048828125,59.88399887084961,0
2013-07-16,59.060001373291016,60.082000732421875,58.560001373291016,59.33300018310547,0
2013-07-23,59.71799850463867,59.849998474121094,58.650001525878906,59.060001373291016,0
2013-07-30,59.4119987487793,61.220001220703125,59.099998474121094,61.097999572753906,0
2013-08-06,60.87699890136719,61.808998107910156,60.29999923706055,60.672000885009766,0
2013-08-13,61.369998931884766,63.84000015258789,60.88999938964844,62.4900016784668,0
2013-08-20,63.849998474121094,65.5530014038086,63.029998779296875,64.06999969482422,0
2013-08-27,64.29299926757812,69.20999908447266,64.18000030517578,66.58999633789062,0
2013-09-03,66.51000213623047,68.61000061035156,64.23999786376953,65.23799896240234,0
2013-09-10,64.05999755859375,64.46800231933594,62.349998474121094,63.290000915527344,0
2013-09-17,63.290000915527344,63.62300109863281,61.599998474121094,62.720001220703125,0
2013-09-24,62.68000030517578,63.189998626708984,61.63999938964844,62.90999984741211,0
2013-10-01,62.58000183105469,63.45000076293945,59.88999938964844,61.380001068115234,0
2013-10-08,62.029998779296875,62.29999923706055,60.0,60.9900016784668,0
2013-10-15,61.380001068115234,61.91999816894531,60.0,61.2400016784668,0
2013-10-22,60.619998931884766,61.810001373291016,60.619998931884766,61.439998626708984,0
2013-10-29,61.5099983215332,62.380001068115234,61.029998779296875,62.20000076293945,0
2013-11-05,61.97999954223633,63.689998626708984,61.43000030517578,63.34000015258789,0
2013-11-12,63.47999954223633,63.959999084472656,62.11000061035156,62.709999084472656,0
2013-11-19,62.20000076293945,63.119998931884766,61.470001220703125,62.2400016784668,0
2013-11-26,62.16999816894531,62.6510009765625,61.83000183105469,62.459999084472656,0
2013-12-03,62.31800079345703,62.54999923706055,60.72999954223633,61.150001525878906,0
2013-12-10,60.869998931884766,62.310001373291016,60.869998931884766,62.1879997253418,0
2013-12-17,61.6879997253418,62.650001525878906,61.6879997253418,62.02000045776367,0
2013-12-24,61.84000015258789,62.15399932861328,61.56999969482422,61.66999816894531,0
2013-12-31,61.779998779296875,62.56999969482422,61.59000015258789,62.22999954223633,0
2014-01-07,62.310001373291016,62.45000076293945,61.150001525878906,61.439998626708984,0
2014-01-14,61.470001220703125,61.70500183105469,61.13999938964844,61.54999923706055,0
2014-01-21,61.540000915527344,63.34000015258789,61.349998474121094,62.72999954223633,0
2014-01-28,63.380001068115234,63.380001068115234,62.06999969482422,62.5,0
2014-02-04,62.869998931884766,62.869998931884766,61.790000915527344,62.09000015258789,0
2014-02-11,62.310001373291016,62.45000076293945,61.650001525878906,61.83000183105469,0
2014-02-18,61.790000915527344,62.439998626708984,61.790000915527344,62.0099983215332,0
2014-02-25,62.06800079345703,62.209999084472656,61.630001068115234,61.81999969482422,0
2014-03-04,62.16999816894531,62.16999816894531,60.77000045776367,61.22999954223633,0
