Date,Open,High,Low,Close,Volume
2012-12-31,5982.60009765625,6020.75,5981.5498046875,6016.14990234375,0
2013-01-07,6042.14990234375,6042.14990234375,5940.60009765625,5951.2998046875,0
2013-01-14,5967.2001953125,6083.39990234375,5962.14990234375,6064.39990234375,0
2013-01-21,6085.75,6101.2998046875,6007.85009765625,6074.64990234375,729700
2013-01-28,6082.10009765625,6111.7998046875,5983.2001953125,5998.89990234375,722700
2013-02-04,6025.2001953125,6038.5,5883.64990234375,5903.5,785900
2013-02-11,5920.0498046875,5969.5,5853.89990234375,5887.39990234375,676300
2013-02-18,5888.64990234375,5971.0,5835.7998046875,5850.2998046875,667100
2013-02-25,5870.5498046875,5878.39990234375,5671.89990234375,5719.7001953125,967100
2013-03-04,5704.7001953125,5952.85009765625,5663.60009765625,5945.7001953125,741700
2013-03-11,5946.10009765625,5971.2001953125,5791.75,5872.60009765625,659200
2013-03-18,5816.75,5863.60009765625,5631.7998046875,5651.35009765625,817100
2013-03-25,5707.2998046875,5718.39990234375,5604.85009765625,5682.5498046875,486600
2013-04-01,5697.35009765625,5754.60009765625,5534.7001953125,5553.25,617000
2013-04-08,5550.5,5610.64990234375,5477.2001953125,5528.5498046875,637900
2013-04-15,5508.5,5794.35009765625,5500.2998046875,5783.10009765625,590100
2013-04-22,5789.85009765625,5924.60009765625,5789.7998046875,5871.4501953125,608200
2013-04-29,5877.60009765625,6019.4501953125,5867.7998046875,5944.0,580300
2013-05-06,5944.89990234375,6105.2998046875,5928.4501953125,6094.75,590300
2013-05-13,6098.2001953125,6199.9501953125,5970.0498046875,6187.2998046875,687000
2013-05-20,6198.0,6229.4501953125,5936.7998046875,5983.5498046875,747200
2013-05-27,5989.39990234375,6133.75,5975.5498046875,5985.9501953125,744400
2013-06-03,5997.35009765625,6011.0,5869.5,5881.0,569300
2013-06-10,5907.89990234375,5931.64990234375,5683.10009765625,5808.39990234375,687800
2013-06-17,5820.39990234375,5863.39990234375,5616.85009765625,5667.64990234375,721000
